ID_AutoProprietario,Numero_Telaio,ID_Proprietario,Data_Inizio_Proprietà,Data_Fine_Proprietà
1,VIN65748,1,2023-12-18,NULL
2,VIN82929,2,2020-07-26,2023-06-12
3,VIN90487,3,2017-09-24,NULL
4,VIN85804,4,2017-12-15,NULL
5,VIN86423,5,2021-01-02,NULL
6,VIN58759,6,2020-05-05,NULL
7,VIN74536,7,2021-06-06,2024-07-09
8,VIN96969,8,2018-06-13,2024-12-14
9,VIN61081,9,2017-04-01,2021-04-20
10,VIN99299,10,2016-02-11,NULL
11,VIN16194,11,2023-06-17,2014-09-18
12,VIN74629,12,2015-01-17,NULL
13,VIN56240,13,2021-11-06,NULL
14,VIN18729,14,2015-01-24,NULL
15,VIN97274,15,2022-07-01,NULL
16,VIN54394,16,2024-08-04,NULL
17,VIN46785,17,2019-09-12,2015-12-03
18,VIN42551,18,2021-09-18,NULL
19,VIN27070,19,2018-05-24,NULL
20,VIN63999,20,2018-07-02,NULL
21,VIN28893,21,2023-09-07,NULL
22,VIN79490,22,2024-11-19,NULL
23,VIN80940,23,2017-07-16,NULL
24,VIN65737,24,2016-03-01,NULL
25,VIN83956,25,2018-11-10,NULL
26,VIN44338,26,2021-11-01,2020-02-17
27,VIN85584,27,2016-01-12,NULL
28,VIN53343,28,2019-06-03,NULL
29,VIN28571,29,2023-01-22,NULL
30,VIN67208,30,2018-11-12,2020-10-22
31,VIN36173,31,2019-12-14,NULL
32,VIN91367,32,2022-05-09,NULL
33,VIN73463,33,2020-08-25,NULL
34,VIN32903,34,2016-11-14,NULL
35,VIN19205,35,2023-08-06,2022-08-10
36,VIN42358,36,2014-03-01,NULL
37,VIN63658,37,2014-07-09,NULL
38,VIN22644,38,2019-07-05,NULL
39,VIN14080,39,2015-09-04,NULL
40,VIN21065,40,2017-10-18,NULL
41,VIN18915,41,2024-03-11,2018-04-01
42,VIN98419,42,2022-07-01,NULL
43,VIN59131,43,2024-03-14,NULL
44,VIN94932,44,2014-05-02,NULL
45,VIN48509,45,2015-01-14,NULL
46,VIN87194,46,2014-12-25,NULL
47,VIN40110,47,2022-10-28,NULL
48,VIN44132,48,2015-06-16,NULL
49,VIN65455,49,2024-01-26,NULL
50,VIN54841,50,2017-01-04,NULL
51,VIN76360,51,2014-09-24,2017-06-18
52,VIN51018,52,2017-03-03,2023-11-26
53,VIN50737,53,2022-09-20,NULL
54,VIN43446,54,2017-10-12,2023-04-19
55,VIN72750,55,2016-06-05,NULL
56,VIN82480,56,2014-10-12,NULL
57,VIN29332,57,2019-02-06,NULL
58,VIN66346,58,2019-11-05,NULL
59,VIN82112,59,2014-09-19,2014-07-08
60,VIN16915,60,2024-03-07,NULL
61,VIN48225,61,2024-10-25,NULL
62,VIN64766,62,2016-11-09,NULL
63,VIN85692,63,2015-08-20,NULL
64,VIN25114,64,2017-12-26,2020-12-03
65,VIN58994,65,2016-09-13,2020-04-06
66,VIN47232,66,2021-08-03,NULL
67,VIN56684,67,2023-11-26,NULL
68,VIN47537,68,2014-06-16,NULL
69,VIN13117,69,2016-11-05,NULL
70,VIN22564,70,2024-04-04,NULL
71,VIN86546,71,2017-11-05,NULL
72,VIN96245,72,2016-08-16,NULL
73,VIN76715,73,2022-01-09,2021-11-06
74,VIN78320,74,2019-12-14,2015-08-12
75,VIN31666,75,2022-09-08,2022-07-07
76,VIN49542,76,2023-06-17,NULL
77,VIN10091,77,2016-09-15,2016-04-28
78,VIN10958,78,2016-05-10,NULL
79,VIN73999,79,2019-09-05,NULL
80,VIN27184,80,2015-12-13,NULL
81,VIN94167,81,2014-05-11,2019-08-23
82,VIN87685,82,2018-10-20,NULL
83,VIN58550,83,2022-02-14,NULL
84,VIN86396,84,2022-08-20,NULL
85,VIN33117,85,2015-03-19,2020-09-13
86,VIN49366,86,2015-03-02,NULL
87,VIN92265,87,2015-11-17,NULL
88,VIN15830,88,2016-07-16,NULL
89,VIN98873,89,2015-01-20,NULL
90,VIN31844,90,2019-10-10,NULL
91,VIN49190,91,2022-10-23,NULL
92,VIN82338,92,2017-11-24,2015-11-07
93,VIN84198,93,2017-05-10,NULL
94,VIN48045,94,2015-10-14,2019-02-24
95,VIN53867,95,2022-01-16,2020-06-13
96,VIN35131,96,2021-10-22,NULL
97,VIN67874,97,2020-07-11,NULL
98,VIN33258,98,2014-07-27,NULL
99,VIN26909,99,2024-05-18,2023-05-25
100,VIN60671,100,2023-02-17,NULL
101,VIN58656,101,2022-01-16,NULL
102,VIN75540,102,2022-04-17,NULL
103,VIN14586,103,2023-05-01,NULL
104,VIN12552,104,2024-03-16,NULL
105,VIN63866,105,2021-02-08,NULL
106,VIN17178,106,2018-05-20,NULL
107,VIN44028,107,2016-03-26,NULL
108,VIN84762,108,2014-12-09,NULL
109,VIN41334,109,2020-12-15,NULL
110,VIN16264,110,2018-02-04,NULL
111,VIN34307,111,2024-08-15,NULL
112,VIN70642,112,2015-10-11,NULL
113,VIN28545,113,2018-04-01,NULL
114,VIN79780,114,2019-01-20,NULL
115,VIN47882,115,2014-11-04,NULL
116,VIN75493,116,2022-04-24,NULL
117,VIN28726,117,2020-12-20,NULL
118,VIN93842,118,2021-04-04,NULL
119,VIN24499,119,2016-09-14,NULL
120,VIN61638,120,2021-03-05,2019-08-21
121,VIN56670,121,2022-11-24,NULL
122,VIN27447,122,2014-05-26,NULL
123,VIN96189,123,2015-09-18,NULL
124,VIN91429,124,2019-06-23,NULL
125,VIN86889,125,2017-08-27,NULL
126,VIN88862,126,2019-11-12,NULL
127,VIN21438,127,2023-07-12,NULL
128,VIN68886,128,2014-09-14,NULL
129,VIN38451,129,2021-07-13,2023-03-23
130,VIN85947,130,2017-02-10,NULL
131,VIN58507,131,2019-04-22,NULL
132,VIN87051,132,2017-08-17,NULL
133,VIN31160,133,2017-06-27,NULL
134,VIN74718,134,2016-07-20,NULL
135,VIN55489,135,2014-03-15,NULL
136,VIN74316,136,2022-07-10,NULL
137,VIN77011,137,2024-07-24,2014-10-16
138,VIN17702,138,2018-01-02,2018-05-10
